Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Kazakhstan,-0.022404105452404257,-0.028572912714955788,-0.25566544946371406,1.1150118402136615,-0.007110333787605739,-0.3582991314758825,-0.27169765596069534,-0.07583193106894695,-1.7439456602833903,-1.079355450805474,-0.14011151018354984,-0.10537354561984019,-0.715107617790613,0.21052119078133294,-0.1002213425545669
Kenya,-1.2585158742590017,-0.49712768383657463,-0.2896455267310826,-0.5644847262313543,-0.49387834270149866,-0.2595804411386225,-0.47651372200850745,-0.6320432274281232,-0.833580746358956,0.30476829785440374,0.6077306732625417,0.026614480342223662,-0.8270519863303216,-1.2373288910934346,0.1290051619370825
Kirghizistan,-1.0819284787152021,-0.5018765497601045,-0.2896455267310826,-0.323177748293852,-0.5185456404505135,-0.3582991314758825,-0.5186817356065865,-0.6605866676178114,-0.5854812972894397,-0.4267647860380792,-0.4377890850090311,-0.49954445938942527,-0.8653807646890262,-0.3710937993734883,-0.13451822432437477
Kiribati,0.07523833678946157,-0.5493652089954038,-0.2896455267310826,-0.5548324471138542,-0.5465019112327304,-0.3582991314758825,-0.5277177385204604,-0.6309806156665275,0.03802033001061756,-0.017946879466933192,-0.5842872435927233,-0.6009094297599538,3.149406670058457,1.2500033008452687,2.1446141835146504
Lesotho,-0.7412186802542239,-0.5256208793777541,-0.2896455267310826,-0.4197005394688529,-0.5218346134837155,-0.3582991314758825,-0.5262117380348148,-0.6710389709955035,1.015160309610664,1.5520585200307948,-0.5342349794024732,-0.5742928394264483,-0.9608985139321471,-0.07409891078379233,0.7776655996639317
Lettonie,0.1936557667423624,-0.4876299519895148,-0.17637860250652085,-0.14943672417885034,-0.48236693708529177,-0.3582991314758825,-0.47952572297979884,0.39290627653331495,-0.2773577879611698,-0.4372904419214243,-0.5395021419068288,-0.5404827696479086,-0.6481843539897003,0.7302622458133008,-1.0852891851937325
Liban,-0.496073825264008,-0.436975382138529,-0.26699214188617026,-0.43900509770385304,-0.4297433685540601,-0.3582991314758825,-0.4328397079247828,-0.17886780626527643,0.03802033001061756,-0.017946879466933192,-0.4380822571464778,-0.34699536586157764,3.8727863124155957,-1.8560682423219677,-0.705829775415453
Libéria,-0.5293138056016643,-0.473383354218925,-0.2896455267310826,-0.1011753285913499,-0.46756655843588285,-0.3582991314758825,-0.506633731721421,-0.7087118649844953,1.5113592077496958,-1.010938687563731,-0.47012688236318023,-0.4892984076949633,1.1228485635053636,-0.2844702902014936,-0.2769383836929743
Lituanie,0.7171854570604509,-0.4227287843679392,0.0954620156324274,-0.13978444506135027,-0.41823196293785314,-0.3582991314758825,-0.35151568169991626,0.47793090175984343,-0.5194548310048105,-0.9214706125552983,-0.5163201331089518,-0.5106731952367429,-0.15477738178478895,1.1262554305995622,-1.086949943448136
Macédoine du Nord,0.15002829254918837,-0.4876299519895148,-0.2839821805198545,-0.17839356153135064,-0.48236693708529177,-0.3582991314758825,-0.5262117380348148,-0.3538750059439963,0.11079780171210536,0.3784478890378188,-0.5356664914180946,-0.5464166499236206,-0.6512263205261053,0.04299217747628317,-1.0948195325422905
